1	1	שלך	אֶמינֶה סֶבְגִי אוֹזדָמָר	איסטנבול שלי	11	מָאדָאם אַטִינָה חָפְנָה אֶת פָּנַיי בְּיָדֶיהָ וְאָמְרָה: "יַלְדִּי, עִם הָעֵינַיִים הַיָּפוֹת שֶׁלְּךָ אַתָּה עָתִיד לִשְׂרוֹף אֶת הַלֵּב לְהַרְבֵּה גְּבָרִים."	מָאדָאם אָטִינָה חָפְנָה אֶת פָּנַיי בְּיָדֶיהָ וְאָמְרָה: "יַלְדָּתִי, עִם הָעֵינַיִים הַיָּפוֹת שֶׁלָּךְ אֶת עֲתִידָה לִשְׂרוֹף אֶת הַלֵּב לְהַרְבֵּה גְּבָרִים."	2
60	22	עמך	אוסקר וויילד	הדייג ונשמתו	5	עַכְשָׁיו, כַּאֲשֶׁר מֵת אַתָּה, אָמוּת עִמְּךָ.	עַכְשָׁיו, כַּאֲשֶׁר מֵתָה אַתְּ, אָמוּת עִמָּךְ.	2
61	22	אהובתך	אוסקר וויילד	הדייג ונשמתו	2	קָרָא הַכּוֹמֶר; "אֲהוּבָתְךָ אֲבוּדָה הִיא, וְגַם אַתָּה תֹּאבַד עִמָּהּ."	קָרָא הַכּוֹמֶר; "אֲהוּבָתֵךְ אֲבוּדָה הִיא, וְגַם אַתְּ תֹּאבְדִי עִמָּהּ."	1
62	22	לך	אוסקר וויילד	הדייג ונשמתו	22	כַּאֲשֶׁר רָאוּ אוֹתוֹ הַסּוֹחֲרִים בָּא לִקְרָאתָם, הֵחֵלּוּ לִלְחוֹשׁ אִישׁ לְרֵעֵהוּ; אֶחָד מֵהֶם צָעַד קָדִימָה לְפָגְשׁוֹ, קָרָא לוֹ בִּשְׁמוֹ וְאָמַר לוֹ, "מָה יֵשׁ לְךָ לִמְכּוֹר?"	כַּאֲשֶׁר רָאוּ אוֹתָהּ הַסּוֹחֲרִים בָּאָה לִקְרָאתָם, הֵחֵלּוּ לִלְחוֹשׁ אִישׁ לְרֵעֵהוּ; אֶחָד מֵהֶם צָעַד קָדִימָה לְפָגְשָׁהּ, קָרָא לָהּ בִּשְׁמָהּ וְאָמַר לָהּ, "מָה יֵשׁ לָךְ לִמְכּוֹר?"	1
63	22	לך	אוסקר וויילד	הדייג ונשמתו	5	מָה תִּיתֵּן לִי אִם אוֹמֵר לְךָ?	מָה תִּיתְּנִי לִי אִם אוֹמֵר לָךְ?	1
64	22	לקראתך	אוסקר וויילד	הדייג ונשמתו	2	אִם יָבוֹא לִקְרָאתְךָ כֶּלֶב שָׁחוֹר, הַכֵּה אוֹתוֹ בְּמַטֵּה מֵעֵץ הָעֲרָבָה, וְהוּא יֵלֵךְ לוֹ.	אִם יָבוֹא לִקְרָאתֵךְ כֶּלֶב שָׁחוֹר, הַכִּי אוֹתוֹ בְּמַטֵּה מֵעֵץ הָעֲרָבָה, וְהוּא יֵלֵךְ לוֹ.	1
65	22	לך	אוסקר וויילד	הדייג ונשמתו	11	אַל נָא תִּשְׁלַח אוֹתִי מֵעַל פָּנֶיךָ עַכְשָׁיו, כִּי מָה רָעָה עָשִׂיתִי לְךָ?	אַל נָא תְּשַׁלְּחִי אוֹתִי מֵעַל פָּנַיִךְ עַכְשָׁיו, כִּי מָה רָעָה עָשִׂיתִי לְךָ?	1
66	22	לבך	אוסקר וויילד	הדייג ונשמתו	7	אַכְזָר הוּא הָעוֹלָם; אָנָּא, תֵּן לִי אֶת לִבְּךָ לָקַחַת אִתִּי.	אַכְזָר הוּא הָעוֹלָם; אָנָּא, תְּנִי לִי אֶת לִבֵּךְ לָקַחַת אִתִּי.	1
67	22	אתך	אוסקר וויילד	הדייג ונשמתו	5	וְהַצֵּל עָנָה, "גַּשׁ אֵלַיי, וַאֲדַבֵּר אִתְּךָ; כִּי דְּבָרִים נִפְלָאִים רָאִיתִי.	וְהַצֵּל עָנָה, "גְּשִׁי אֵלַיי, וַאֲדַבֵּר אִתָּךְ; כִּי דְּבָרִים נִפְלָאִים רָאִיתִי.	1
68	22	אותך	אוסקר וויילד	הדייג ונשמתו	5	אָמַר לוֹ הַצֵּל, "כַּאֲשֶׁר עָזַבְתִּי אוֹתְךָ, שַׂמְתִּי אֶת פָּנַיי מִזְרָחָה וְיָצָאתִי לְמַסָּע."	אָמַר לָהּ הַצֵּל, "כַּאֲשֶׁר עָזַבְתִּי אוֹתָךְ, שַׂמְתִּי אֶת פָּנַיי מִזְרָחָה וְיָצָאתִי לְמַסָּע."	1
69	22	האינך	אוסקר וויילד	הדייג ונשמתו	0	הַאֵינְךָ יוֹדֵעַ כִּי קֵיסָר אָנוֹכִי בָּעִיר הַזֹּאת?	הָאִינָךְ יוֹדַעַת כִּי קֵיסָר אָנוֹכִי בָּעִיר הַזֹּאת?	1
70	22	הנך	אוסקר וויילד	הדייג ונשמתו	2	הַאִם נָבִיא הִנְּךָ שֶׁאֵין לְהַזִּיק לוֹ, אוֹ בְּנוֹ שֶׁל נָבִיא שֶׁלֹּא אוּכַל לִפְגּוֹעַ בּוֹ?	הַאִם נְבִיאָה הִנֵּךְ שֶׁאֵין לְהַזִּיק לָהּ, אוֹ בִּתּוֹ שֶׁל נָבִיא שֶׁלֹּא אוּכַל לִפְגּוֹעַ בָּהּ?	1
71	22	הנך	אוסקר וויילד	הדייג ונשמתו	8	אָנָּא, עֲזוֹב אֶת עִירִי הַלַּיְלָה, כִּי כָּל עוֹד הִנְּךָ בָּעִיר, לֹא אוּכַל לִהְיוֹת אָדוֹן בָּהּ.	אָנָּא, עִזְבִי אֶת עִירִי הַלַּיְלָה, כִּי כָּל עוֹד הִנֵּךְ בָּעִיר, לֹא אוּכַל לִהְיוֹת אָדוֹן בָּהּ.	1
72	22	אוצרך	אוסקר וויילד	הדייג ונשמתו	4	תֵּן לִי אֶת מַחֲצִית אוֹצָרְךָ, וְאֵלֵךְ לִי.	תְּנִי לִי אֶת מַחֲצִית אוֹצָרֵךְ, וְאֵלֵךְ לִי.	1
73	22	שלך	אוסקר וויילד	הדייג ונשמתו	8	עַל כֵּן, בּוֹא וְקָחֶנָּה, וְכָל אוֹצְרוֹת הָעוֹלָם יִהְיוּ שֶׁלְּךָ.	עַל כֵּן, בּוֹאִי וּקְחִינָה, וְכָל אוֹצְרוֹת הָעוֹלָם יִהְיוּ שֶׁלָּךְ.	1
74	22	לך	אוסקר וויילד	הדייג ונשמתו	4	בּוֹא עִמִּי וְאַרְאֶה אוֹתָן לְךָ.	בּוֹאִי עִמִּי וְאַרְאֶה אוֹתָן לָךְ.	1
75	22	עצמך	אוסקר וויילד	הדייג ונשמתו	3	אַל תַּטְרִיד אֶת עַצְמְךָ, אֶלָּא בּוֹא אִתִּי אֶל עִיר אַחֶרֶת.	אַל תַּטְרִידִי אֶת עַצְמֵךְ, אֶלָּא בּוֹאִי אִתִּי אֶל עִיר אַחֶרֶת.	1
76	22	לך	אוסקר וויילד	הדייג ונשמתו	4	הַנַּח לִי עַתָּה לְסַפֵּר לְךָ עַל כְּאֵב הָעוֹלָם, אוּלַי תִּשְׁמַע לִי.	הַנִּיחִי לִי עַתָּה לְסַפֵּר לָךְ עַל כְּאֵב הָעוֹלָם, אוּלַי תִּשְׁמְעִי לִי.	1
77	22	נפשך	אוסקר וויילד	הדייג ונשמתו	2	בְּרַח עַל נַפְשְׁךָ, קָרְאָה הַנְּשָׁמָה.	בִּרְחִי עַל נַפְשֵׁךְ, קָרְאָה הַנְּשָׁמָה.	1
78	22	עליך	אוסקר וויילד	הדייג ונשמתו	0	עָלֶיךָ לִרְקוֹד אִתִּי, נַעַר נֶחְמָד, מִלְמְלָה, וְחִייְּכָה אֵלָיו בְּדַבְּרָהּ.	עָלָיִךְ לִרְקוֹד אִתִּי, נַעֲרָה נֶחְמָדָה, מִלְמְלָה, וְחִייְּכָה אֵלֶיהָ בְּדַבְּרָהּ.	1
79	22	אליך	אוסקר וויילד	הדייג ונשמתו	3	וְאִם יַנְשׁוּף יְדַבֵּר אֵלֶיךָ, אַל תָּשִׁיב לוֹ תְּשׁוּבָה.	וְאִם יַנְשׁוּף יְדַבֵּר אֵלַיִךְ, אַל תָּשִׁיבִי לוֹ תְּשׁוּבָה.	1
80	22	פניך	אוסקר וויילד	הדייג ונשמתו	8	הִסְתַּלֵּק, מִלְמֵל, "וְאַל תַּנִּיחַ לִי עוֹד לִרְאוֹת אֶת פָּנֶיךָ."	הִסְתַּלְּקִי, מִלְמֵל, "וְאַל תַּנִּיחִי לִי עוֹד לִרְאוֹת אֶת פָּנַיִךְ."	1
81	22	כחפצך	אוסקר וויילד	הדייג ונשמתו	2	עֲשֵׂה בָּהּ כְּחֶפְצֵךְ.	עֲשִׂי בָּהּ כְּחֶפְצְךָ.	1
82	22	אהרגך	אוסקר וויילד	הדייג ונשמתו	7	הַרְאֵה לִי אֶת הָאֵל,' קָרָאתִי, 'וְאִם לֹא, אֶהֱרָגְךָ.'	הָרְאִי לִי אֶת הָאֵל,' קָרָאתִי, 'וְאִם לֹא, אֶהֶרְגֵךְ.'	1
83	22	לך	אוסקר וויילד	הדייג ונשמתו	1	אֶמְכּוֹר לְךָ אֶת נִשְׁמָתִי, עָנָה, "אָנָּא, קְנֵה אוֹתָהּ מִמֶּנִּי, כִּי עָיַיפְתִּי מִמֶּנָּה.	אֶמְכּוֹר לָךְ אֶת נִשְׁמָתִי, עָנָה, "אָנָּא, קְנִי אוֹתָהּ מִמֶּנִּי, כִּי עָיַיפְתִּי מִמֶּנָּה."	1
84	22	לך	אוסקר וויילד	הדייג ונשמתו	7	וְהִיא דִּיבְּרָה אֶל הַדַּיָּיג הַצָּעִיר וְאָמְרָה, "סִיפַּרְתִּי לְךָ עַל שִׂמְחוֹת הָעוֹלָם, וְהִפְנֵיתָ אֵלַיי אוֹזֶן אֲטוּמָה.	וְהִיא דִּיבְּרָה אֶל הַדַּיֶּיגֶת הַצְּעִירָה וְאָמְרָה, "סִיפַּרְתִּי לָךְ עַל שִׂמְחוֹת הָעוֹלָם, וְהִפְנֵית אֵלַיי אוֹזֶן אֲטוּמָה."	1
85	23	שלך	אוסקר וויילד	מודל למיליונר	5	וְכַמָּה אַתָּה מְקַבֵּל עַל הַתְּמוּנָה שֶׁלְּךָ, אֵלֶן?	וְכַמָּה אַתְּ מְקַבֶּלֶת עַל הַתְּמוּנָה שֶׁלָּךְ, אֵלֶן?	1
86	24	לך	אופיר עוז	למה אנחנו לא עושים את זה	5	אֶת כָּל הַשְּׁרִירִים אֲנִי אֲפָרֵק לְךָ, כְּמוֹ שֶׁאַתָּה אוֹהֵב.	אַתְּ כָּל הַשְּׁרִירִים אֲנִי אֲפָרֵק לָךְ, כְּמוֹ שֶׁאַתְּ אוֹהֶבֶת.	2
87	24	לך	אופיר עוז	למה אנחנו לא עושים את זה	1	יֵשׁ לְךָ שָׁם אֶת הַחֶדֶר הַנּוֹסָף הַזֶּה, שֶׁאַתָּה לֹא מִשְׁתַּמֵּשׁ בּוֹ, נָכוֹן?	יֵשׁ לָךְ שָׁם אֶת הַחֶדֶר הַנּוֹסָף הַזֶּה, שֶׁאַתְּ לֹא מִשְׁתַּמֶּשֶׁת בּוֹ, נָכוֹן?	1
88	25	אותך	אופיר עוז	שמחתי לא להכיר אותך	5	וְאָז הִיא אוֹמֶרֶת: "אֲנִי זוֹכֶרֶת אוֹתְךָ עוֹד שֶׁהָיִיתָ כָּזֶה קָטָן."	וְאָז הִיא אוֹמֶרֶת: "אֲנִי זוֹכֶרֶת אוֹתָךְ עוֹד שֶׁהָיִיתָ כָּזֹאת קְטַנָּה."	1
89	25	אותך	אופיר עוז	שמחתי לא להכיר אותך	8	אֲנִי עוֹשֶׂה לוֹ פַּרְצוּף שֶׁל "שָׂמַחְתִּי לֹא לְהַכִּיר אוֹתְךָ", מִסְתּוֹבֵב מִמֶּנּוּ וּמוֹסִיף עוֹד חֵלֶק יָרוֹק שֶׁל לֵגוֹ עַל הַכַּף.	אֲנִי עוֹשֶׂה לָהּ פַּרְצוּף שֶׁל "שָׂמַחְתִּי לֹא לְהַכִּיר אוֹתָךְ", מִסְתּוֹבֵב מִמֶּנָּה וּמוֹסִיף עוֹד חֵלֶק יָרוֹק שֶׁל לֵגוֹ עַל הַכַּף.	1
90	26	שלך	אופק קהילה	המסתורי שיש ביניהם	6	גַּם אַתָּה לִפְעָמִים כּוֹתֵב בַּמַּחְבָּרוֹת הַצְּהוּבּוֹת שֶׁלְּךָ.	גַּם אַתְּ לִפְעָמִים כּוֹתֶבֶת בַּמַּחְבָּרוֹת הַצְּהוּבּוֹת שֶׁלָּךְ.	2
91	26	לך	אופק קהילה	המסתורי שיש ביניהם	2	אֲנִי אַחֲזִיר לְךָ הַכֹּל בְּסוֹף שֶׁל הַחוֹדֶשׁ כְּשֶׁאֲנִי אֲקַבֵּל אֶת הַמַּשְׂכּוֹרֶת, אַתָּה יוֹדֵעַ שֶׁאֲנִי אַחֲזִיר.	אֲנִי אַחֲזִיר לָךְ הַכֹּל בַּסּוֹף שֶׁל הַחוֹדֶשׁ כְּשֶׁאֲנִי אֲקַבֵּל אֶת הַמַּשְׂכּוֹרֶת, אַתְּ יוֹדַעַת שֶׁאֲנִי אַחֲזִיר.	2
92	26	לך	אופק קהילה	המסתורי שיש ביניהם	3	אוּלַי הוּא יַסְבִּיר לְךָ עַד כַּמָּה אַתָּה חָסֵר לִי.	אוּלַי הוּא יַסְבִּיר לָךְ עַד כַּמָּה אַתְּ חֲסֵרָה לִי.	2
93	27	אינך	אורי אורלב	הסינים	1	מַדּוּעַ אֵינְךָ אוֹכֶל?	מַדּוּעַ אֵינֵךְ אוֹכֶלֶת?	2
94	27	אותך	אורי אורלב	הסינים	7	רוֹמַנְטִיקָה חַסְרַת שַׁחַר, כְּשֶׁתֵּשֵׁב בַּכֶּלֶא, לִפְנֵי שֶׁיּוֹצִיאוּ אוֹתְךָ לַהוֹרֵג, לֹא תַּחֲשׁוֹב אֶת כָּל הַדְּבָרִים הַיָּפִים הָאֵלֶּה, מוֹתֶק.	רוֹמַנְטִיקָה חַסְרַת שַׁחַר, כְּשֶׁתֵּשְׁבִי בַּכֶּלֶא, לִפְנֵי שֶׁיּוֹצִיאוּ אוֹתָךְ לַהוֹרֵג, לֹא תַּחְשְׁבִי אֶת כָּל הַדְּבָרִים הַיָּפִים הָאֵלֶּה, מוֹתֶק.	2
95	27	לך	אורי אורלב	הסינים	4	אַתָּה רוֹצֶה בֶּטַח שֶׁאַבְרִיחַ לְךָ אֶחָד כָּזֶה בַּמְּכוֹנִית שֶׁל הַקָּצִין שֶׁלִּי, מָה?	אַתְּ רוֹצֶה בֶּטַח שֶׁאַבְרִיחַ לָךְ אֶחָד כָּזֶה בַּמְּכוֹנִית שֶׁל הַקָּצִין שֶׁלִּי, מָה?	2
96	27	חייך	אורי אורלב	הסינים	9	לֹא רַק שֶׁאֲנִי צָרִיךְ לְסַכֵּן אֶת הַחַיִּים שֶׁלִּי וְאֶת חַיֶּיךָ, אַתָּה מִתְכַּוֵּון עוֹד לִשְׁכַּב עִם הַפִּיסְטוּק הַזֶּה?	לֹא רַק שֶׁאֲנִי צָרִיךְ לְסַכֵּן אֶת הַחַיִּים שֶׁלִּי וְאֶת חַיַּיִךְ, אַתְּ מִתְכַּוֶּונֶת עוֹד לִשְׁכַּב עִם הַפִּיסְטוּק הַזֶּה?	2
97	27	שלך	אורי אורלב	הסינים	5	אֲבָל אַתָּה צָרִיךְ לְהָבִין שֶׁהַחַיִּים שֶׁלְּךָ בְּסַכָּנָה.	אֲבָל אַתְּ צְרִיכָה לְהָבִין שֶׁהַחַיִּים שֶׁלָּךְ בְּסַכָּנָה.	2
98	27	סביבך	אורי אורלב	הסינים	3	כַּאֲשֶׁר הוֹרְגִים אֲנָשִׁים סְבִיבְךָ וְאַתָּה עוֹזֵר לִתְפּוֹס אוֹתָם.	כַּאֲשֶׁר הוֹרְגִים אֲנָשִׁים סְבִיבֵךְ וְאַתְּ עוֹזֶרֶת לִתְפּוֹס אוֹתָם.	1
99	27	לך	אורי אורלב	הסינים	4	אֲנִי כְּבָר לֹא מַאֲמִינָה לְךָ; אֲבָל נַנִּיחַ שֶׁאַתָּה לֹא עוֹשֶׂה שׁוּם דָּבָר.	אֲנִי כְּבָר לֹא מַאֲמִין לָךְ; אֲבָל נַנִּיחַ שֶׁאַתְּ לֹא עוֹשָׂה שׁוּם דָּבָר.	1
100	27	אותך	אורי אורלב	הסינים	5	טוֹב, אַל תִּיבָּהֵל, לֹא אֶשְׁלַח אוֹתְךָ יוֹתֵר.	טוֹב, אַל תִּיבָּהֲלִי, לֹא אֶשְׁלַח אוֹתָךְ יוֹתֵר.	1
